2019-04-02 14:30:20.927 | background-preinit | DEBUG | org.hibernate.validator.internal.engine.ValidatorFactoryImpl |  |  |  |  | HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2019-04-02 14:30:21.037 | main | INFO  | com.czy.frame.MybatisApplicationTests |  |  |  |  | Starting MybatisApplicationTests on DESKTOP-FL8RKE8 with PID 14548 (started by YTT in C:\Users\YTT\Desktop\CZY_DEMO\新建文件夹\mybatis)
2019-04-02 14:30:21.037 | main | DEBUG | com.czy.frame.MybatisApplicationTests |  |  |  |  | Running with Spring Boot v2.1.3.RELEASE, Spring v5.1.5.RELEASE
2019-04-02 14:30:21.038 | main | INFO  | com.czy.frame.MybatisApplicationTests |  |  |  |  | No active profile set, falling back to default profiles: default
2019-04-02 14:30:21.038 | main | DEBUG | org.springframework.boot.SpringApplication |  |  |  |  | Loading source class com.czy.frame.MybatisApplication
2019-04-02 14:30:21.176 | main | DEBUG | org.springframework.boot.context.config.ConfigFileApplicationListener |  |  |  |  | Loaded config file 'file:/C:/Users/YTT/Desktop/CZY_DEMO/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/mybatis/target/classes/application.yml' (classpath:/application.yml)
2019-04-02 14:30:21.176 | main | DEBUG | org.springframework.web.context.support.GenericWebApplicationContext |  |  |  |  | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@311bf055
2019-04-02 14:30:21.207 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-04-02 14:30:21.236 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2019-04-02 14:30:21.978 | main | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver |  |  |  |  | Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2019-04-02 14:30:22.037 | main | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver |  |  |  |  | Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2019-04-02 14:30:22.145 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
2019-04-02 14:30:22.247 | main | DEBUG | org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration |  |  |  |  | Searching for mappers annotated with @Mapper
2019-04-02 14:30:22.248 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2019-04-02 14:30:22.256 | main | DEBUG | org.springframework.boot.autoconfigure.AutoConfigurationPackages |  |  |  |  | @EnableAutoConfiguration was declared on a class in the package 'com.czy.frame'. Automatic @Repository and @Entity scanning is enabled.
2019-04-02 14:30:22.256 | main | DEBUG | org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration |  |  |  |  | Using auto-configuration base package 'com.czy.frame'
2019-04-02 14:30:22.259 | main | DEBUG | org.mybatis.spring.mapper.ClassPathMapperScanner |  |  |  |  | Identified candidate component class: file [C:\Users\YTT\Desktop\CZY_DEMO\新建文件夹\mybatis\target\classes\com\czy\mybatis\user\dao\SysUserMapper.class]
2019-04-02 14:30:22.260 | main | DEBUG | org.mybatis.spring.mapper.ClassPathMapperScanner |  |  |  |  | Creating MapperFactoryBean with name 'sysUserMapper' and 'com.czy.frame.user.dao.SysUserMapper' mapperInterface
2019-04-02 14:30:22.260 | main | DEBUG | org.mybatis.spring.mapper.ClassPathMapperScanner |  |  |  |  | Enabling autowire by type for MapperFactoryBean with name 'sysUserMapper'.
2019-04-02 14:30:22.484 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
